개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3130000,3.13E+17,2024-12-09,,영업/정상,,,,,0,,4083,㈜펫문,I,0,2025-12-15 16:15,"서울특별시 마포구 성지5길 19, 3층 (합정동)",정상,0,1,23221004,192328.2937,449335.276,서울특별시 마포구 합정동 370-39 ,2025-06-17 16:10
3400000,3.4E+17,2021-02-24,,영업/정상,,,,,0,,46040,센트럴파크(주),I,L00,2025-12-15 16:15,부산광역시 기장군 일광읍 차양길 175,정상,0,1,517285411,404470.0168,201766.7786,부산광역시 기장군 일광읍 동백리 383-2 ,2021-07-28 13:30
3400000,3.4E+17,2020-11-26,,영업/정상,,,,,0,,46028,아이별,I,0,2025-12-15 16:15,부산광역시 기장군 장안읍 기룡길 11-33,정상,0,1,517274499,,,부산광역시 기장군 장안읍 기룡리 240 ,2020-11-26 17:55
3400000,3.4E+17,2014-10-02,,영업/정상,,,,,0,,46029,파트라슈,I,0,2025-12-15 16:15,부산광역시 기장군 장안읍 기장대로 1561-68,정상,0,1,517232201,403916.8359,205680.0596,부산광역시 기장군 장안읍 좌동리 49-1 ,2019-06-04 13:43
3470000,3.47E+17,2014-03-26,,영업/정상,,,,,0,,42699,(주)동물사랑 대구러브펫,I,0,2025-12-15 16:15,대구광역시 달서구 문화회관9길 71 (장동),정상,0,1,535934900,,,대구광역시 달서구 장동 50 ,2017-05-29 20:46
3560000,3.56E+17,2020-02-14,,영업/정상,,,,,0,,22669,어게인,I,L00,2025-12-15 16:15,"인천광역시 서구 원당대로262번길 40, (주)어게인 (오류동)",정상,0,1,,167029.775,453780.2084,인천광역시 서구 오류동 434-119 (주)어게인 ,2025-07-18 10:29
3560000,3.56E+17,2020-12-18,,영업/정상,,,,,0,,22600,(주)더포에버,I,L00,2025-12-15 16:15,인천광역시 서구 설원로 79 (대곡동),정상,0,1,317135002,171201.0922,458213.2844,인천광역시 서구 대곡동 361-2 ,2024-06-21 10:58
3560000,3.56E+17,2025-10-14,,영업/정상,,,,,0,,22669,아이드림펫,I,0,2025-12-15 16:15,인천광역시 서구 원당대로246번길 15 (오류동),정상,0,1,,167077.6684,453932.1097,인천광역시 서구 오류동 434-114 ,2025-11-10 13:42
3630000,3.63E+17,2016-05-10,,영업/정상,,,,,0,,62413,(주) 하늘펫,I,L00,2025-12-15 16:15,광주광역시 광산구 평동매화길 34 (지죽동),정상,0,1,629462626,178024.8501,182429.2174,광주광역시 광산구 지죽동 409-14 ,2018-12-04 9:34
3630000,3.63E+17,2025-01-03,,영업/정상,,,,,0,,62407,(주)하늘정원,I,L00,2025-12-15 16:15,광주광역시 광산구 체암로 1685-2 (양동),정상,0,1,627142979,168606.8262,183510.1039,광주광역시 광산구 양동 684-4 ,2025-01-03 15:14
